"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"118","Antonio Callaway",MIA,"vs. LAC","2 out of 5 stars","F","3.4"
"119","Darrius Shepherd",GB,"vs. JAC","4 out of 5 stars","F","3.4"
"120","Riley Ridley",CHI,"vs. MIN","5 out of 5 stars","F","3.3"
"121","C.J. Board",NYG,"vs. PHI","3 out of 5 stars","F","3.3"
"122","Gunner Olszewski",NE,"vs. BAL","2 out of 5 stars","F","3.2"
"123","Malik Taylor",GB,"vs. JAC","4 out of 5 stars","F","3.2"
"124","Tyler Johnson",TB,"at CAR","1 out of 5 stars","F","3.2"
"125","Kevin White",SF,"at NO","4 out of 5 stars","F","3.1"
"126","John Hightower",PHI,"at NYG","4 out of 5 stars","F","3.0"
"127","Malcolm Perry",MIA,"vs. LAC","2 out of 5 stars","F","3.0"
"128","Kendrick Bourne",SF,"at NO","4 out of 5 stars","F","2.8"
"129","Olabisi Johnson",MIN,"at CHI","1 out of 5 stars","F","2.8"
"130","Brandon Zylstra",CAR,"vs. TB","3 out of 5 stars","F","2.8"
"131","Mike Thomas",CIN,"at PIT","5 out of 5 stars","F","2.7"
"132","Zay Jones",LV,"vs. DEN","3 out of 5 stars","F","2.7"
"133","Kirk Merritt",MIA,"vs. LAC","2 out of 5 stars","F","2.7"
"134","Dontrelle Inman",WAS,"at DET","3 out of 5 stars","F","2.7"
"135","DeMichael Harris",IND,"at TEN","5 out of 5 stars","F","2.6"
"136","Joe Reed",LAC,"at MIA","3 out of 5 stars","F","2.6"
"137","Keith Kirkwood",CAR,"vs. TB","3 out of 5 stars","F","2.6"
"138","Nick Westbrook-Ikhine",TEN,"vs. IND","3 out of 5 stars","F","2.5"
"139","Pharoh Cooper",CAR,"vs. TB","3 out of 5 stars","F","2.5"
"140","Alex Erickson",CIN,"at PIT","5 out of 5 stars","F","2.5"
"141","Taywan Taylor",CLE,"vs. HOU","5 out of 5 stars","F","2.4"
"142","K.J. Hill",LAC,"at MIA","3 out of 5 stars","F","2.3"
"143","Justin Watson",TB,"at CAR","1 out of 5 stars","F","2.3"
"144","James Proche",BAL,"at NE","3 out of 5 stars","F","2.2"
"145","Daurice Fountain",IND,"at TEN","5 out of 5 stars","F","2.2"
"146","Antonio Gandy-Golden",WAS,"at DET","3 out of 5 stars","F","1.9"
