"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"vs. CAR","2 out of 5 stars","A+","14.1"
"2","Darren Waller",LV,"at LAC","4 out of 5 stars","A","13.4"
"3","Mark Andrews",BAL,"at IND","1 out of 5 stars","A","10.9"
"4","Rob Gronkowski",TB,"vs. NO","4 out of 5 stars","A-","10.3"
"5","T.J. Hockenson",DET,"at MIN","4 out of 5 stars","B+","10.2"
"6","Noah Fant",DEN,"at ATL","5 out of 5 stars","B","10.1"
"7","Hunter Henry",LAC,"vs. LV","3 out of 5 stars","B","9.9"
"8","Hayden Hurst",ATL,"vs. DEN","3 out of 5 stars","B","9.8"
"9","Jared Cook",NO,"at TB","3 out of 5 stars","B-","9.4"
"10","Jonnu Smith",TEN,"vs. CHI","4 out of 5 stars","C+","8.3"
"11","Robert Tonyan",GB,"at SF","1 out of 5 stars","C+","8.0"
"12","Evan Engram",NYG,"at WAS","3 out of 5 stars","C","7.8"
"13","Eric Ebron",PIT,"at DAL","4 out of 5 stars","C","7.7"
"14","Jimmy Graham",CHI,"at TEN","5 out of 5 stars","C-","7.0"
"15","Mike Gesicki",MIA,"at ARI","4 out of 5 stars","C-","7.0"
"16","Logan Thomas",WAS,"vs. NYG","2 out of 5 stars","D+","6.9"
"17","Trey Burton",IND,"vs. BAL","3 out of 5 stars","D+","6.9"
"18","Jordan Reed",SF,"vs. GB","1 out of 5 stars","D+","6.4"
"19","Dalton Schultz",DAL,"vs. PIT","1 out of 5 stars","D-","5.6"
"20","Jordan Akins",HOU,"at JAC","5 out of 5 stars","D-","5.3"
"21","Irv Smith Jr.",MIN,"vs. DET","2 out of 5 stars","D-","5.0"
"22","Greg Olsen",SEA,"at BUF","5 out of 5 stars","F","5.0"
"23","Ross Dwelley",SF,"vs. GB","1 out of 5 stars","D","4.7"
"24","Darren Fells",HOU,"at JAC","5 out of 5 stars","F","4.2"
"25","Albert Okwuegbunam",DEN,"at ATL","5 out of 5 stars","F","4.2"
"26","Jack Doyle",IND,"vs. BAL","3 out of 5 stars","F","4.1"
"27","Ian Thomas",CAR,"at KC","2 out of 5 stars","F","4.1"
"28","Mo Alie-Cox",IND,"vs. BAL","3 out of 5 stars","F","4.1"
"29","Will Dissly",SEA,"at BUF","5 out of 5 stars","F","3.9"
"30","Anthony Firkser",TEN,"vs. CHI","4 out of 5 stars","F","3.9"
"31","Kyle Rudolph",MIN,"vs. DET","2 out of 5 stars","F","3.8"
"32","Chris Herndon IV",NYJ,"vs. NE","1 out of 5 stars","F","3.7"
"33","Tyler Kroft",BUF,"vs. SEA","2 out of 5 stars","F","3.6"
"34","Tyler Eifert",JAC,"vs. HOU","4 out of 5 stars","F","3.5"
"35","James O'Shaughnessy",JAC,"vs. HOU","4 out of 5 stars","F","3.4"
"36","Dan Arnold",ARI,"vs. MIA","2 out of 5 stars","F","3.3"
"37","Cameron Brate",TB,"vs. NO","4 out of 5 stars","F","3.1"
"38","Dawson Knox",BUF,"vs. SEA","2 out of 5 stars","F","3.0"
"39","Jace Sternberger",GB,"at SF","1 out of 5 stars","F","3.0"
"40","Cole Kmet",CHI,"at TEN","5 out of 5 stars","F","2.9"
"41","Nick Boyle",BAL,"at IND","1 out of 5 stars","F","2.9"
"42","Ryan Izzo",NE,"at NYJ","4 out of 5 stars","F","2.8"
"43","Jason Witten",LV,"at LAC","4 out of 5 stars","F","2.8"
"44","Jesse James",DET,"at MIN","4 out of 5 stars","F","2.7"
"45","Foster Moreau",LV,"at LAC","4 out of 5 stars","F","2.6"
"46","Adam Shaheen",MIA,"at ARI","4 out of 5 stars","F","2.6"
"47","Vance McDonald",PIT,"at DAL","4 out of 5 stars","F","2.6"
"48","Kaden Smith",NYG,"at WAS","3 out of 5 stars","F","2.5"
"49","Durham Smythe",MIA,"at ARI","4 out of 5 stars","F","2.5"
"50","Ryan Griffin",NYJ,"vs. NE","1 out of 5 stars","F","2.5"
"51","Jacob Hollister",SEA,"at BUF","5 out of 5 stars","F","2.5"
"52","Donald Parham Jr.",LAC,"vs. LV","3 out of 5 stars","F","2.4"
"53","Darrell Daniels",ARI,"vs. MIA","2 out of 5 stars","F","2.3"
"54","Josh Hill",NO,"at TB","3 out of 5 stars","F","2.3"
"55","Nick Keizer",KC,"vs. CAR","2 out of 5 stars","F","2.1"
"56","Chris Manhertz",CAR,"at KC","2 out of 5 stars","F","1.9"
"57","Demetrius Harris",CHI,"at TEN","5 out of 5 stars","F","1.9"
"58","Adam Trautman",NO,"at TB","3 out of 5 stars","F","1.9"
"59","Nick Vannett",DEN,"at ATL","5 out of 5 stars","F","1.8"
"60","Charlie Woerner",SF,"vs. GB","1 out of 5 stars","F","1.8"
"61","Blake Bell",DAL,"vs. PIT","1 out of 5 stars","F","1.7"
"62","Marcedes Lewis",GB,"at SF","1 out of 5 stars","F","1.7"
"63","Luke Stocker",ATL,"vs. DEN","3 out of 5 stars","F","1.7"
"64","Jeremy Sprinkle",WAS,"vs. NYG","2 out of 5 stars","F","1.7"
"65","Trevon Wesco",NYJ,"vs. NE","1 out of 5 stars","F","1.7"
"66","Tanner Hudson",TB,"vs. NO","4 out of 5 stars","F","1.7"
"67","Tyler Conklin",MIN,"vs. DET","2 out of 5 stars","F","1.7"
"68","MyCole Pruitt",TEN,"vs. CHI","4 out of 5 stars","F","1.6"
"69","Gabe Nabers",LAC,"vs. LV","3 out of 5 stars","F","1.6"
"70","Lee Smith",BUF,"vs. SEA","2 out of 5 stars","F","1.6"
"71","Deon Yelder",KC,"vs. CAR","2 out of 5 stars","F","1.5"
"72","Ben Ellefson",JAC,"vs. HOU","4 out of 5 stars","F","1.5"
"73","Tyler Davis",JAC,"vs. HOU","4 out of 5 stars","F","1.5"
"74","Temarrick Hemingway",WAS,"vs. NYG","2 out of 5 stars","F","1.4"
"75","Dalton Keene",NE,"at NYJ","4 out of 5 stars","F","1.3"
"76","Levine Toilolo",NYG,"at WAS","3 out of 5 stars","F","1.3"
"77","Jaeden Graham",ATL,"vs. DEN","3 out of 5 stars","F","1.2"
"78","Pharaoh Brown",HOU,"at JAC","5 out of 5 stars","F","1.2"
"79","Geoff Swaim",TEN,"vs. CHI","4 out of 5 stars","F","1.1"
"80","Isaac Nauta",DET,"at MIN","4 out of 5 stars","F","1.1"
"81","Luke Willson",SEA,"at BUF","5 out of 5 stars","F","0.9"
"82","Colin Thompson",CAR,"at KC","2 out of 5 stars","F","0.9"
"83","Jake Butt",DEN,"at ATL","5 out of 5 stars","F","0.9"
"84","J.P. Holtz",CHI,"at TEN","5 out of 5 stars","F","0.9"
"85","Derek Carrier",LV,"at LAC","4 out of 5 stars","F","0.7"
"86","Sean McKeon",DAL,"vs. PIT","1 out of 5 stars","F","0.5"
