Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
51377-52553,WR,De'Mornay,De'Mornay Pierson-El,Pierson-El,0,0,4500,LV@LAC,LV,LAC,,,
51377-56649,WR,Sean,Sean Modster,Modster,0,1,4500,BAL@IND,BAL,IND,,,
51377-34125,WR,Geremy,Geremy Davis,Davis,0,1,4500,DET@MIN,DET,MIN,,,
51377-52560,WR,Geronimo,Geronimo Allison,Allison,0,1,4500,DET@MIN,DET,MIN,IR,Opt out,
51377-31061,RB,T.J.,T.J. Yeldon,Yeldon,5.23333327,3,4500,SEA@BUF,BUF,SEA,O,Back,
51377-14683,RB,Patrick,Patrick DiMarco,DiMarco,1.04285717,7,4500,SEA@BUF,BUF,SEA,,,
51377-60765,WR,Brian,Brian Cole,Cole,0,1,4500,MIA@ARI,MIA,ARI,,,
51377-52591,RB,Rodney,Rodney Smith,Smith,0,2,4500,CAR@KC,CAR,KC,,,
51377-63855,WR,K.J.,K.J. Osborn,Osborn,0,4,4500,DET@MIN,MIN,DET,,,
51377-52598,WR,Johnnie,Johnnie Dixon,Dixon,0,2,4500,MIA@ARI,ARI,MIA,,,
51377-64892,RB,Bryce,Bryce Love,Love,0,1,4500,NYG@WAS,WAS,NYG,IR,Knee,
51377-71039,WR,Kelvin,Kelvin Harmon,Harmon,0,1,4500,NYG@WAS,WAS,NYG,IR,Knee - acl,
51377-70019,RB,Tavien,Tavien Feaster,Feaster,0,1,4500,DET@MIN,DET,MIN,,,
51377-64901,RB,Cameron,Cameron Scarlett,Scarlett,0,0,4500,CHI@TEN,TEN,CHI,,,
51377-28055,WR,Amara,Amara Darboh,Darboh,0,1,4500,PIT@DAL,PIT,DAL,,,
51377-80281,WR,C.J.,C.J. Board,Board,2.079999924,5,4500,NYG@WAS,NYG,WAS,,,
51377-41370,WR,Trevor,Trevor Davis,Davis,0,2,4500,NYG@WAS,WAS,NYG,,,
51377-41371,RB,Khalfani,Khalfani Muhammad,Muhammad,0,1,4500,MIA@ARI,ARI,MIA,,,
51377-32161,WR,Gehrig,Gehrig Dieter,Dieter,0,0,4500,CAR@KC,KC,CAR,,,
51377-47523,WR,Tajae,Tajae Sharpe,Sharpe,0,1,4500,DET@MIN,MIN,DET,,,
51377-80299,RB,Patrick,Patrick Ricard,Ricard,1.774999976,4,4500,BAL@IND,BAL,IND,,,
51377-62891,WR,Omar,Omar Bayless,Bayless,0,2,4500,CAR@KC,CAR,KC,IR,Knee,
51377-60849,WR,Blake,Blake Lynch,Lynch,0,0,4500,DET@MIN,MIN,DET,,,
51377-60861,WR,Damion,Damion Ratley,Ratley,1.383333365,6,4500,HOU@JAC,HOU,JAC,,,
51377-64962,RB,LeVante,LeVante Bellamy,Bellamy,0,1,4500,DEN@ATL,DEN,ATL,IR,Knee,
51377-72133,WR,Antoine,Antoine Wesley,Wesley,0,1,4500,BAL@IND,BAL,IND,IR,Shoulder,
51377-55750,WR,Chris,Chris Lacy,Lacy,0,1,4500,PIT@DAL,DAL,PIT,,,
51377-69068,RB,Jonathan,Jonathan Ward,Ward,0,3,4500,MIA@ARI,ARI,MIA,,,
51377-64974,RB,Francis,Francis Bernard,Bernard,0,1,4500,PIT@DAL,DAL,PIT,,,
51377-31184,RB,Jonathan,Jonathan Williams,Williams,0,1,4500,DET@MIN,DET,MIN,,,
51377-103901,WR,Davion,Davion Davis,Davis,0,0,4500,DET@MIN,MIN,DET,,,
51377-73180,WR,Binjimen,Binjimen Victor,Victor,0,1,4500,NYG@WAS,NYG,WAS,,,
51377-103902,WR,Alexander,Alexander Hollins,Hollins,2.799999952,2,4500,DET@MIN,MIN,DET,,,
51377-6627,WR,Ted,Ted Ginn Jr.,Ginn Jr.,0.916666667,6,4500,CHI@TEN,CHI,TEN,,,
51377-14820,RB,Nick,Nick Bellore,Bellore,0.949999988,2,4500,SEA@BUF,SEA,BUF,,,
51377-60910,WR,Dede,Dede Westbrook,Westbrook,-0.366666675,3,4500,HOU@JAC,JAC,HOU,IR,Knee - acl,
51377-57840,RB,Rashaad,Rashaad Penny,Penny,0,1,4500,SEA@BUF,SEA,BUF,NA,Knee - acl,
51377-29183,RB,D.J.,D.J. Foster,Foster,0,2,4500,MIA@ARI,ARI,MIA,,,
51377-23046,RB,Jamize,Jamize Olawale,Olawale,0,1,4500,PIT@DAL,DAL,PIT,IR,Opt out,
51377-103943,WR,Trinity,Trinity Benson,Benson,0,1,4500,DEN@ATL,DEN,ATL,,,
51377-88590,RB,Scottie,Scottie Phillips,Phillips,0,0,4500,HOU@JAC,HOU,JAC,,,
51377-69150,WR,Jordan,Jordan Veasy,Veasy,0,1,4500,NYG@WAS,WAS,NYG,,,
51377-54817,WR,Diontae,Diontae Spencer,Spencer,0.419999981,5,4500,DEN@ATL,DEN,ATL,D,Shoulder,
51377-60963,WR,TreVontae,TreVontae Hights,Hights,0,2,4500,CAR@KC,CAR,KC,,,
