P,Player,Week,Team,Opp,Opp Position Rank,FDSal,DKSal,FD Points,DK Points
WR,Mike Evans,3,TB,LA,4,8000,7000,24.2,32
WR,Larry Fitzgerald,1,ARI,NE,22,7200,6300,24.1,28
RB,Christine Michael,3,SEA,SF,3,6900,5000,24.1,28
RB,DeMarco Murray,3,TEN,OAK,22,7700,6300,24,30
RB,Latavius Murray,13,OAK,BUF,16,6700,5400,24,26
WR,Cameron Meredith,16,CHI,WAS,11,5500,4700,24,32
RB,Devontae Booker,17,DEN,OAK,23,5300,3500,23.9,25
WR,JJ Nelson,8,ARI,CAR,24,4500,3000,23.9,28
RB,Jordan Howard,5,CHI,IND,29,7200,5200,23.8,28
TE,Zach Miller,3,CHI,DAL,27,5200,2900,23.8,28
TE,Jordan Reed,4,WAS,CLE,21,7500,6300,23.8,28
WR,Will Fuller,4,HOU,TEN,14,6700,5300,23.6,27
TE,Dennis Pitta,13,BAL,MIA,20,4800,3100,23.5,29
WR,Julio Jones,6,ATL,SEA,3,8500,8900,23.4,30
TE,Jason Witten,9,DAL,CLE,30,5200,3700,23.4,30
RB,Theo Riddick,8,DET,HOU,22,5900,5000,23.3,27
RB,Spencer Ware,6,KC,OAK,26,5700,5400,23.3,27
WR,Kendall Wright,6,TEN,CLE,19,4500,3000,23.3,30
RB,Theo Riddick,5,DET,PHI,2,6200,4900,23.2,26
WR,Allen Robinson,10,JAX,HOU,3,7000,7000,23.2,31
TE,Kyle Rudolph,17,MIN,CHI,6,5900,4600,23.2,32
WR,Jarvis Landry,3,MIA,CLE,25,7000,6600,23.1,30
WR,Larry Fitzgerald,5,ARI,SF,18,7200,7200,23.1,26
WR,Randall Cobb,7,GB,CHI,19,6700,5800,23.1,29
WR,Dez Bryant,11,DAL,BAL,24,7400,7200,23,26
RB,LeSean McCoy,16,BUF,MIA,14,9100,9000,23,29
WR,Stefon Diggs,10,MIN,WAS,9,6700,6200,22.9,32
TE,Delanie Walker,10,TEN,GB,21,6200,4600,22.9,30
RB,DeAngelo Williams,17,PIT,CLE,31,4500,5500,22.9,24
WR,Brandon LaFell,5,CIN,DAL,8,5400,3200,22.8,27
WR,TY Hilton,7,IND,TEN,9,7800,7700,22.8,29
RB,Matt Forte,8,NYJ,CLE,28,7300,6400,22.8,24
TE,Greg Olsen,5,CAR,TB,5,8000,6300,22.6,30
RB,LeSean McCoy,13,BUF,OAK,25,8400,7800,22.6,29
RB,James White,6,NE,CIN,17,5700,4100,22.6,27
TE,Coby Fleener,6,NO,CAR,28,5600,3500,22.6,26
RB,LeGarrette Blount,3,NE,HOU,7,6500,4400,22.5,26
RB,Jonathan Stewart,8,CAR,ARI,2,6100,4900,22.5,24
WR,Marquess Wilson,12,CHI,TEN,21,4500,3000,22.5,30
WR,Tyler Lockett,15,SEA,LA,25,4700,4000,22.5,29
WR,Tyler Lockett,13,SEA,CAR,26,5000,3700,22.3,25
RB,Carlos Hyde,1,SF,LA,20,6200,5600,22.3,23
RB,Ezekiel Elliott,4,DAL,SF,15,8100,6900,22.2,26
RB,Le'Veon Bell,12,PIT,IND,23,9500,9000,22.2,27
RB,Zach Zenner,16,DET,DAL,1,4600,3200,22.2,23
RB,Mark Ingram,17,NO,ATL,22,6100,5600,22.2,28
WR,Adam Thielen,5,MIN,HOU,3,4900,3100,22.2,29
RB,Ezekiel Elliott,9,DAL,CLE,30,9200,7900,22.2,23
WR,Cameron Meredith,5,CHI,IND,6,4500,3000,22.1,31
WR,Chris Hogan,14,NE,BAL,25,5700,4100,22.1,28
WR,TY Hilton,14,IND,HOU,4,7600,7500,22,30
WR,Brandon LaFell,16,CIN,HOU,3,5800,4800,22,28
WR,Julio Jones,7,ATL,SD,16,9200,9200,21.9,29
WR,Rishard Matthews,17,TEN,HOU,5,5800,4100,21.9,29
WR,Jordy Nelson,13,GB,HOU,3,7400,7000,21.8,29
RB,Melvin Gordon,13,SD,TB,20,8000,7200,21.8,24
RB,Ryan Mathews,15,PHI,BAL,1,5000,3900,21.8,25
RB,Christine Michael,6,SEA,ATL,23,7400,6800,21.8,23
WR,Michael Thomas,9,NO,SF,20,5800,5500,21.8,24
RB,Jeremy Hill,14,CIN,CLE,31,6900,5800,21.7,26
RB,Bilal Powell,15,NYJ,MIA,14,6200,5600,21.7,27
RB,Ezekiel Elliott,16,DAL,DET,7,8900,7900,21.7,22
RB,Jeremy Hill,3,CIN,DEN,13,6400,3700,21.7,22
RB,Darren Sproles,3,PHI,PIT,17,5200,3700,21.7,28
RB,Isaiah Crowell,4,CLE,WAS,30,6600,4400,21.7,26
WR,Eric Decker,2,NYJ,BUF,18,7000,6500,21.6,28
RB,Jonathan Stewart,12,CAR,OAK,21,6900,5000,21.6,22
WR,Emmanuel Sanders,14,DEN,TEN,30,5900,5700,21.5,30
WR,Dontrelle Inman,4,SD,NO,24,5700,3300,21.5,28
RB,Charles Sims,3,TB,LA,20,6300,4900,21.4,24
WR,Brandon Marshall,5,NYJ,PIT,7,7600,7100,21.4,28
RB,Rashad Jennings,11,NYG,CHI,3,5600,3600,21.4,24
RB,Isaiah Crowell,2,CLE,BAL,6,5800,4400,21.3,25
WR,Rishard Matthews,9,TEN,SD,12,5400,3800,21.3,24
WR,Robert Woods,9,BUF,SEA,8,5400,3700,21.2,29
WR,Jamison Crowder,8,WAS,CIN,7,6200,4600,21.2,29
RB,Bilal Powell,17,NYJ,BUF,29,6600,6500,21.2,26
RB,David Johnson,1,ARI,NE,5,8800,7500,21.2,23
RB,DeAngelo Williams,2,PIT,CIN,22,7600,7100,21.2,23
WR,Allen Robinson,3,JAX,BAL,8,7900,7500,21.2,25
WR,Steve Smith,4,BAL,OAK,32,6100,4500,21.1,28
RB,David Johnson,7,ARI,SEA,4,8500,7400,21.1,28
WR,Julio Jones,9,ATL,TB,27,9000,9600,21.1,28
WR,Tyrell Williams,10,SD,MIA,26,5900,5700,21,27
WR,Jordan Matthews,1,PHI,CLE,31,6600,6700,21,28
RB,Tevin Coleman,16,ATL,CAR,8,6100,5000,21,23
WR,Dontrelle Inman,12,SD,HOU,3,5000,4100,20.9,27
RB,Melvin Gordon,4,SD,NO,32,7600,6300,20.9,25
WR,DeAndre Hopkins,2,HOU,KC,10,8300,8700,20.8,27
RB,Matt Jones,4,WAS,CLE,19,6600,4300,20.8,25
WR,Cole Beasley,6,DAL,GB,27,5900,4400,20.8,24
WR,Ted Ginn,12,CAR,OAK,22,5200,3900,20.8,26
RB,Devonta Freeman,12,ATL,ARI,1,7300,6400,20.7,22
WR,JJ Nelson,16,ARI,SEA,18,5000,4400,20.7,25
TE,Greg Olsen,2,CAR,SF,7,7600,5600,20.7,26
RB,Mark Ingram,3,NO,ATL,29,6900,5900,20.7,23
RB,DuJuan Harris,9,SF,NO,31,4500,3000,20.7,24
TE,Tyler Eifert,8,CIN,WAS,12,5600,4100,20.7,28
WR,Odell Beckham Jr,10,NYG,CIN,6,9000,8800,20.7,26
RB,Corey Grant,17,JAX,IND,27,4500,3000,20.7,25
WR,Antonio Brown,16,PIT,BAL,22,8300,8200,20.6,26
WR,Eddie Royal,4,CHI,DET,22,5500,3500,20.6,27
WR,Pierre Garcon,11,WAS,GB,29,5700,3900,20.6,27
WR,Dez Bryant,10,DAL,PIT,4,7500,7000,20.6,27
RB,Cameron Artis-Payne,5,CAR,TB,23,5800,3300,20.5,21
RB,Jay Ajayi,9,MIA,NYJ,16,7100,6000,20.5,25
RB,Ameer Abdullah,1,DET,IND,21,6300,4900,20.5,23
RB,Danny Woodhead,1,SD,KC,4,5800,5000,20.5,23
RB,Todd Gurley,3,LAR,TB,27,8300,7100,20.5,21
RB,Jonathan Stewart,6,CAR,NO,32,6300,5100,20.5,21
WR,Odell Beckham Jr,16,NYG,PHI,31,8800,8600,20.5,29
TE,Coby Fleener,3,NO,ATL,31,5500,3300,20.4,27
WR,Antonio Brown,4,PIT,KC,7,9400,9700,20.4,22
RB,Carlos Hyde,5,SF,ARI,6,7200,4800,20.4,23
WR,Mike Wallace,9,BAL,PIT,4,6600,5600,20.4,25
TE,Jordan Reed,8,WAS,CIN,26,6800,5900,20.4,25
RB,Le'Veon Bell,4,PIT,KC,23,8300,7500,20.3,26
RB,Terrance West,13,BAL,MIA,11,5900,3800,20.3,22
WR,Tyrell Williams,5,SD,OAK,31,6500,4700,20.2,26
WR,Jeremy Kerley,5,SF,ARI,15,5400,3700,20.2,27
RB,DeMarco Murray,7,TEN,IND,31,8700,7200,20.2,25
RB,DeMarco Murray,1,TEN,MIN,7,6500,5300,20.2,24
RB,Giovani Bernard,2,CIN,PIT,9,5500,4200,20.2,29
FB,John Kuhn,4,NO,SD,24,4500,3000,20.2,21
WR,Davante Adams,17,GB,DET,18,6800,5700,20.1,23
RB,Spencer Ware,7,KC,NO,32,7000,5800,20.1,21
RB,Frank Gore,9,IND,GB,1,6300,4500,20.1,21
WR,Antonio Brown,3,PIT,PHI,6,9500,9600,20,29
TE,Ladarius Green,13,PIT,NYG,8,4500,2800,20,26
TE,Martellus Bennett,2,NE,MIA,13,5500,4400,19.9,25
WR,Brian Quick,4,LAR,ARI,12,4500,3000,19.9,21
RB,Le'Veon Bell,5,PIT,NYJ,9,8600,7500,19.9,24
RB,Le'Veon Bell,7,PIT,NE,7,8600,8000,19.9,25
WR,Steve Smith,11,BAL,DAL,14,5500,6000,19.9,24
RB,Devonta Freeman,5,ATL,DEN,13,7400,5000,19.8,21
RB,Devonta Freeman,8,ATL,GB,1,6900,6500,19.8,22
RB,LeSean McCoy,4,BUF,NE,9,7600,6700,19.8,23
WR,DeSean Jackson,12,WAS,DAL,16,5900,4800,19.8,25
RB,LeSean McCoy,14,BUF,PIT,28,8300,8200,19.8,23
WR,Tyreek Hill,14,KC,OAK,17,6400,5000,19.8,24
RB,Isaiah Crowell,16,CLE,SD,26,5700,4100,19.8,22
WR,Doug Baldwin,1,SEA,MIA,19,6700,6600,19.7,24
WR,Michael Crabtree,7,OAK,JAX,25,7200,6600,19.6,24
TE,Travis Kelce,8,KC,IND,25,5700,4900,19.6,26
WR,Golden Tate,9,DET,MIN,2,6400,4700,19.5,25
RB,Melvin Gordon,2,SD,JAX,4,6600,4800,19.5,24
RB,Mark Ingram,4,NO,SD,24,6800,5900,19.5,23
RB,Matt Jones,6,WAS,PHI,6,6500,4000,19.5,23
WR,John Brown,4,ARI,LA,11,6200,4300,19.4,27
TE,Rob Gronkowski,8,NE,BUF,2,8100,7000,19.4,25
WR,Quincy Enunwa,12,NYJ,NE,7,4900,4100,19.4,25
WR,Steve Smith,16,BAL,PIT,2,6000,5100,19.4,23
TE,Antonio Gates,16,SD,CLE,32,5400,4400,19.4,23
RB,Latavius Murray,7,OAK,JAX,11,5900,4400,19.3,20
WR,Dez Bryant,8,DAL,PHI,5,7300,7100,19.3,24
WR,Allen Hurns,8,JAX,TEN,10,5700,4800,19.3,23
RB,DeMarco Murray,8,TEN,JAX,13,8300,7400,19.3,23
WR,Larry Fitzgerald,10,ARI,SF,27,7200,7600,19.3,28
TE,Tyler Eifert,14,CIN,CLE,29,6700,6000,19.3,22
RB,Jordan Howard,15,CHI,GB,9,6600,6000,19.3,21
RB,Le'Veon Bell,13,PIT,NYG,14,9300,9200,19.2,26
WR,Allen Robinson,16,JAX,TEN,30,5600,4600,19.2,27
WR,Mike Evans,16,TB,NO,14,8900,8500,19.2,23
WR,Will Fuller,1,HOU,CHI,10,5600,3700,19.2,25
WR,Willie Snead,10,NO,DEN,1,6400,5300,19.2,22
WR,Julio Jones,17,ATL,NO,16,8300,8400,19.1,23
WR,TY Hilton,13,IND,NYJ,25,7600,7600,19.1,27
WR,Jordy Nelson,14,GB,SEA,8,7100,6800,19.1,22
WR,Julio Jones,2,ATL,OAK,32,9300,9200,19.1,25
RB,Latavius Murray,2,OAK,ATL,19,7100,5700,19.1,22
TE,Cameron Brate,3,TB,LA,19,4800,2500,19.1,22
RB,Zach Zenner,17,DET,GB,7,4500,3200,19,21
WR,Tyreek Hill,8,KC,IND,5,4800,3000,19,22
WR,Jordy Nelson,9,GB,IND,8,8200,7800,18.9,22
WR,Mohamed Sanu,8,ATL,GB,21,5600,4100,18.9,23
WR,Tavon Austin,3,LAR,TB,29,5900,4100,18.9,21
WR,Julian Edelman,11,NE,SF,29,6100,6300,18.9,23
WR,JJ Nelson,14,ARI,MIA,18,4900,3600,18.9,19
RB,CJ Prosise,10,SEA,NE,14,4700,3900,18.8,22
WR,Emmanuel Sanders,4,DEN,TB,30,6900,6400,18.8,23
WR,Amari Cooper,1,OAK,NO,27,7100,7200,18.7,25
WR,Malcolm Mitchell,12,NE,NYJ,19,4500,3000,18.7,21
RB,Spencer Ware,13,KC,ATL,30,7400,6400,18.7,20
RB,Lamar Miller,14,HOU,IND,24,7200,5100,18.7,22
WR,Kenny Stills,14,MIA,ARI,10,5300,3700,18.7,22
WR,Demaryius Thomas,10,DEN,NO,12,7500,6700,18.7,23
WR,Odell Beckham Jr,9,NYG,PHI,7,8900,8800,18.6,21
WR,Davante Adams,10,GB,TEN,10,7200,6300,18.6,25
TE,Greg Olsen,4,CAR,ATL,31,7900,6000,18.6,22
WR,Mohamed Sanu,1,ATL,TB,25,5800,5100,18.5,21
WR,Kenny Stills,7,MIA,BUF,12,5100,3100,18.5,24
WR,Julio Jones,10,ATL,PHI,14,8800,9500,18.5,27
RB,Ezekiel Elliott,13,DAL,MIN,7,8700,8200,18.5,21
RB,Tevin Coleman,14,ATL,LA,19,5400,4000,18.5,20
TE,Zach Ertz,13,PHI,CIN,29,5300,4300,18.4,23
WR,Davante Adams,14,GB,SEA,8,6400,5500,18.4,23
RB,Robert Turbin,15,IND,MIN,10,4500,3300,18.4,19
WR,Mike Evans,1,TB,ATL,2,7900,7400,18.4,21
WR,Demaryius Thomas,4,DEN,TB,30,7900,6700,18.4,21
RB,Ezekiel Elliott,6,DAL,GB,1,8100,7000,18.4,22
RB,Bilal Powell,10,NYJ,LA,7,5400,5000,18.4,22
WR,Antonio Brown,5,PIT,NYJ,22,9600,9800,18.3,23
TE,Jack Doyle,7,IND,TEN,15,4700,2500,18.3,23
RB,Lamar Miller,11,HOU,OAK,25,7100,5800,18.3,22
WR,Albert Wilson,13,KC,ATL,21,4500,3200,18.3,20
WR,Jarvis Landry,15,MIA,NYJ,17,6100,5400,18.3,23
RB,Tim Hightower,15,NO,ARI,3,5400,4100,18.3,20
WR,Kelvin Benjamin,17,CAR,TB,14,6800,5300,18.3,21
RB,LeGarrette Blount,2,NE,MIA,13,6000,4000,18.3,21
WR,Marquise Goodwin,2,BUF,NYJ,30,0,3000,18.2,22
WR,TY Hilton,11,IND,TEN,20,7900,7700,18.2,21
WR,Kelvin Benjamin,1,CAR,DEN,1,7300,5700,18.1,21
WR,Mike Wallace,2,BAL,CLE,27,6100,4700,18.1,20
WR,DeSean Jackson,3,WAS,NYG,9,6800,5900,18.1,21
RB,Kenneth Dixon,14,BAL,NE,7,5000,3800,18.1,22
WR,Jarvis Landry,17,MIA,NE,7,6300,5000,18.1,23
RB,Matt Forte,1,NYJ,CIN,13,6500,6100,18,21
RB,DeMarco Murray,2,TEN,DET,5,7400,5700,18,22
RB,Frank Gore,4,IND,JAX,6,6100,5200,18,21
WR,Michael Thomas,7,NO,KC,22,5700,4700,18,26
WR,Antonio Brown,9,PIT,BAL,26,8700,8900,18,22
WR,Jordan Matthews,8,PHI,DAL,14,6000,5700,18,24
RB,Carlos Hyde,12,SF,MIA,8,6800,4800,18,21
WR,Brandon LaFell,13,CIN,PHI,23,4900,4300,18,21
TE,Travis Kelce,13,KC,ATL,28,6300,4700,18,25
WR,Alshon Jeffery,15,CHI,GB,22,6700,6000,17.9,21
TE,Travis Kelce,3,KC,NYJ,10,6000,4700,17.9,21
WR,Amari Cooper,6,OAK,KC,26,7100,7500,17.9,26
WR,Mike Evans,5,TB,CAR,12,7900,7500,17.9,21
TE,Delanie Walker,7,TEN,IND,22,6500,4900,17.9,21
WR,Kendall Wright,8,TEN,JAX,25,4800,4000,17.9,20
TE,Cameron Brate,10,TB,CHI,3,5400,3500,17.9,21
WR,Devante Parker,11,MIA,LA,8,5800,4100,17.9,22
WR,Malcolm Mitchell,11,NE,SF,29,4500,3000,17.8,20
RB,Derrick Henry,15,TEN,KC,16,4900,5100,17.8,18
WR,Jeremy Kerley,4,SF,DAL,13,5200,3400,17.8,21
WR,Mike Wallace,1,BAL,BUF,23,5400,4200,17.7,19
RB,Melvin Gordon,1,SD,KC,4,5700,4600,17.7,18
WR,Tavon Austin,7,LAR,NYG,18,5800,4000,17.7,23
RB,Derrick Henry,8,TEN,JAX,13,4900,3100,17.7,20
WR,Jamison Crowder,11,WAS,GB,29,6300,5400,17.7,22
WR,DeSean Jackson,14,WAS,PHI,27,5800,5200,17.7,22
TE,Cameron Brate,13,TB,SD,16,5500,3600,17.6,21
WR,Demaryius Thomas,14,DEN,TEN,30,6900,6000,17.6,26
RB,Matt Asiata,5,MIN,HOU,20,5800,3500,17.6,19
WR,Ty Montgomery,7,GB,CHI,19,5600,3000,17.6,23
WR,Andrew Hawkins,8,CLE,NYJ,28,4500,3000,17.6,20
WR,Stefon Diggs,8,MIN,CHI,32,6700,5600,17.6,22
WR,Tyrell Williams,7,SD,ATL,14,6100,4400,17.5,24
RB,DeMarco Murray,9,TEN,SD,27,8100,7600,17.5,21
RB,Melvin Gordon,8,SD,DEN,18,7200,5700,17.5,23
TE,Jared Cook,11,GB,WAS,20,4500,2500,17.5,25
RB,Christine Michael,4,SEA,NYJ,4,7500,6000,17.5,20
TE,CJ Fiedorowicz,6,HOU,IND,13,5100,2500,17.5,21
RB,Tim Hightower,12,NO,LA,7,6500,5400,17.5,19
WR,Odell Beckham Jr,14,NYG,DAL,18,8500,8000,17.4,19
WR,Jordy Nelson,8,GB,ATL,17,7500,7200,17.4,19
RB,Chris Ivory,16,JAX,TEN,4,5200,3600,17.4,20
WR,Golden Tate,17,DET,GB,32,5700,6600,17.4,20
WR,Marquise Goodwin,7,BUF,MIA,26,5300,3000,17.3,19
TE,Rob Gronkowski,7,NE,PIT,18,8500,7200,17.3,19
WR,Quincy Enunwa,8,NYJ,CLE,30,6100,4800,17.3,19
WR,Brandin Cooks,10,NO,DEN,1,7300,7000,17.3,19
TE,Delanie Walker,2,TEN,DET,32,6600,4500,17.3,20
RB,Terrance West,4,BAL,OAK,27,4900,3400,17.3,20
TE,Hunter Henry,6,SD,DEN,10,5400,3300,17.3,20
WR,Larry Fitzgerald,2,ARI,TB,23,7400,6400,17.1,20
WR,Geronimo Allison,17,GB,DET,18,4800,3000,17.1,19
WR,Ted Ginn,13,CAR,SEA,8,4900,4000,17.1,20
TE,Dion Sims,15,MIA,NYJ,22,4500,2500,17.1,19
WR,Allen Robinson,9,JAX,KC,24,6700,6900,17.1,21
WR,Chris Hogan,8,NE,BUF,12,5200,4400,17.1,19
WR,Davante Adams,5,GB,NYG,15,5500,3900,17,20
WR,Mike Wallace,7,BAL,NYJ,31,6900,5800,17,25
RB,Alfred Blue,16,HOU,CIN,18,4900,4300,17,19
RB,LeGarrette Blount,16,NE,NYJ,16,7200,5600,17,17
TE,Jack Doyle,1,IND,DET,28,4500,2500,17,19
WR,Danny Amendola,2,NE,MIA,17,5500,3800,17,20
RB,Ezekiel Elliott,3,DAL,CHI,18,8100,6900,17,21
