P,Player,Week,Team,Opp,Opp Position Rank,FDSal,DKSal,FD Points,DK Points
RB,Le'Veon Bell,14,PIT,BUF,18,9000,9000,49.8,55
WR,Julio Jones,4,ATL,CAR,2,8500,9200,42,51
RB,Ezekiel Elliott,10,DAL,PIT,29,8900,7900,39.9,44
WR,Adam Thielen,16,MIN,GB,28,5700,4600,38.6,48
WR,Odell Beckham Jr,6,NYG,BAL,17,8300,8800,36.2,44
WR,Marvin Jones,3,DET,GB,18,6900,6200,35.5,42
RB,Melvin Gordon,9,SD,TEN,7,7800,6300,34.1,39
WR,Brandin Cooks,15,NO,ARI,12,6300,6200,34.1,41
RB,David Johnson,13,ARI,WAS,24,9200,9500,34,39
RB,David Johnson,6,ARI,NYJ,10,9100,8000,33.3,38
RB,LeSean McCoy,6,BUF,SF,28,8200,6900,33.2,37
RB,Jay Ajayi,6,MIA,PIT,22,5800,3500,33.2,37
RB,Melvin Gordon,7,SD,ATL,26,8000,6400,33.1,36
WR,Mike Evans,9,TB,ATL,26,8300,8500,32.5,41
RB,Devonta Freeman,15,ATL,SF,32,7700,6700,32.5,38
RB,Bilal Powell,14,NYJ,SF,32,5600,5000,32.4,38
TE,Zach Ertz,17,PHI,DAL,26,5900,4800,32.4,42
RB,DeAngelo Williams,1,PIT,WAS,17,7100,7000,32.1,38
RB,David Johnson,5,ARI,SF,21,9000,7900,32,37
WR,Jordy Nelson,16,GB,MIN,2,7800,7000,31.9,39
RB,Rob Kelley,11,WAS,GB,7,5400,4400,31.7,35
WR,Davante Adams,7,GB,CHI,19,5100,3900,31.7,41
RB,David Johnson,16,ARI,SEA,1,8700,9200,31.6,35
RB,David Johnson,11,ARI,MIN,7,8300,7900,31.5,38
RB,Lamar Miller,6,HOU,IND,30,7900,6600,31.3,36
RB,Latavius Murray,9,OAK,DEN,19,6000,4000,31.2,35
RB,Ezekiel Elliott,5,DAL,CIN,6,7900,6800,30.6,35
RB,LeSean McCoy,15,BUF,CLE,31,9000,8900,30.4,35
WR,Brandin Cooks,1,NO,OAK,11,7600,7700,30.4,36
WR,Michael Crabtree,4,OAK,BAL,10,6500,6400,30.3,34
WR,Doug Baldwin,16,SEA,ARI,21,7000,6000,30.2,40
RB,Mark Ingram,9,NO,SF,32,6700,4800,30.1,34
RB,Le'Veon Bell,11,PIT,CLE,31,9100,8800,30.1,37
WR,AJ Green,1,CIN,NYJ,17,8200,8400,30,39
RB,Matt Forte,2,NYJ,BUF,5,6800,6600,29.9,34
RB,Le'Veon Bell,10,PIT,DAL,2,8100,7700,29.9,34
RB,Jordan Howard,13,CHI,SF,32,7400,6900,29.7,33
WR,Antonio Brown,12,PIT,IND,19,8800,9200,29.6,32
RB,Spencer Ware,1,KC,SD,29,5400,4400,29.4,36
WR,Amari Cooper,8,OAK,TB,16,7500,7600,29.3,38
WR,Ty Montgomery,15,GB,CHI,24,5000,4800,29.3,33
RB,Mark Ingram,12,NO,LA,7,6000,5000,29.2,33
RB,Devonta Freeman,3,ATL,NO,28,7400,5800,29.2,35
WR,Kenny Britt,6,LAR,DET,24,5800,3700,29.1,36
WR,Sammie Coates,5,PIT,NYJ,22,5300,3600,28.9,35
RB,Ryan Mathews,10,PHI,ATL,20,5500,3700,28.9,33
WR,Stefon Diggs,2,MIN,GB,12,6500,5100,28.7,36
WR,Antonio Brown,1,PIT,WAS,29,9300,9800,28.6,36
RB,Tevin Coleman,3,ATL,NO,28,6400,4500,28.4,30
RB,LeSean McCoy,12,BUF,JAX,13,8100,7300,28.4,32
WR,AJ Green,4,CIN,MIA,26,8100,8500,28.3,36
WR,Emmanuel Sanders,3,DEN,CIN,12,6500,6000,28.2,36
RB,Jordan Howard,8,CHI,MIN,8,6100,4400,28.2,33
WR,TY Hilton,5,IND,CHI,14,7700,7400,28.1,36
RB,Jay Ajayi,7,MIA,BUF,16,6400,4500,28.1,32
WR,Tyreek Hill,12,KC,DEN,1,6000,4800,28,33
RB,CJ Anderson,1,DEN,CAR,12,6700,5900,27.9,30
WR,Terrelle Pryor,3,CLE,MIA,23,5800,3400,27.9,35
WR,Willie Snead,1,NO,OAK,11,6400,4800,27.7,35
TE,Martellus Bennett,5,NE,CLE,27,6300,3700,27.7,31
WR,Julian Edelman,17,NE,MIA,25,6800,6400,27.7,35
TE,Travis Kelce,16,KC,DEN,9,6500,5000,27.5,36
RB,Jay Ajayi,16,MIA,BUF,23,6700,5600,27.4,31
RB,Rex Burkhead,17,CIN,BAL,6,4500,3500,27.4,31
RB,Matt Forte,7,NYJ,BAL,2,6700,5000,27.4,33
WR,Antonio Brown,10,PIT,DAL,8,8600,8900,27.4,37
WR,TY Hilton,3,IND,SD,15,7400,6800,27.4,34
WR,Michael Thomas,12,NO,LA,13,6400,6600,27.3,35
TE,Dwayne Allen,13,IND,NYJ,14,4900,2600,27.2,29
RB,Le'Veon Bell,16,PIT,BAL,2,9500,9400,27.2,32
RB,DeMarco Murray,10,TEN,GB,3,7400,6900,27,31
WR,Brandin Cooks,6,NO,CAR,11,7500,7600,27,34
WR,AJ Green,7,CIN,CLE,21,8500,8600,26.9,34
WR,Doug Baldwin,10,SEA,NE,6,6900,5800,26.9,30
WR,Golden Tate,6,DET,LA,14,6400,4400,26.8,34
WR,Michael Thomas,17,NO,ATL,20,6700,6700,26.6,35
TE,Jordan Reed,12,WAS,DAL,21,7400,6200,26.5,32
RB,Carlos Hyde,14,SF,NYJ,15,6900,4900,26.5,30
WR,Mike Evans,12,TB,SEA,8,7900,7500,26.4,33
WR,Travis Benjamin,2,SD,JAX,21,6100,4400,26.4,32
WR,Kelvin Benjamin,2,CAR,SF,4,7500,6500,26.3,33
RB,Terrance West,6,BAL,NYG,9,6500,5000,26.3,28
RB,Ezekiel Elliott,15,DAL,TB,18,8500,8200,26.3,31
TE,Jimmy Graham,9,SEA,BUF,9,6700,5700,26.3,33
RB,Jeremy Hill,7,CIN,CLE,22,6800,4000,26.2,30
RB,Devonta Freeman,17,ATL,NO,30,8000,7000,26.2,29
RB,Charcandrick West,17,KC,SD,25,4700,4100,26.1,29
RB,David Johnson,12,ARI,ATL,29,9500,8900,26.1,33
WR,Doug Baldwin,3,SEA,SF,17,7200,6300,26,33
RB,LeGarrette Blount,7,NE,PIT,27,7100,4900,25.9,29
WR,Davante Adams,12,GB,PHI,19,7600,6600,25.8,31
WR,Emmanuel Sanders,12,DEN,KC,27,6600,6200,25.7,32
TE,Rob Gronkowski,6,NE,CIN,17,8400,6700,25.7,32
WR,Mike Evans,7,TB,SF,17,8000,7800,25.6,30
WR,Dez Bryant,16,DAL,DET,11,7600,6500,25.4,27
RB,Theo Riddick,1,DET,IND,21,5100,4000,25.3,28
RB,LeSean McCoy,3,BUF,ARI,5,6700,6500,25.1,30
WR,Jordy Nelson,3,GB,DET,14,8300,7400,25.1,31
RB,Carlos Hyde,3,SF,SEA,4,6100,4400,25,29
RB,Ezekiel Elliott,12,DAL,WAS,20,8600,8500,25,26
WR,Sammy Watkins,16,BUF,MIA,22,6000,5000,24.9,31
WR,Corey Coleman,2,CLE,BAL,1,6000,4700,24.9,30
RB,DeMarco Murray,4,TEN,HOU,18,7300,6800,24.9,26
RB,LeGarrette Blount,10,NE,SEA,9,6400,4900,24.9,25
RB,Shaun Draughn,17,SF,SEA,2,4600,3200,24.9,27
RB,David Johnson,15,ARI,NO,26,9800,10100,24.8,27
WR,Amari Cooper,5,OAK,SD,12,7200,7200,24.8,31
RB,David Johnson,10,ARI,SF,32,9400,8400,24.6,27
WR,Jordy Nelson,10,GB,TEN,10,7700,7500,24.6,34
RB,David Johnson,3,ARI,BUF,24,8400,7700,24.6,26
WR,Odell Beckham Jr,12,NYG,CLE,26,9000,8800,24.6,28
RB,Devonta Freeman,13,ATL,KC,13,7400,6100,24.5,27
WR,Golden Tate,13,DET,NO,15,5900,6200,24.5,32
TE,Charles Clay,16,BUF,MIA,22,4500,3200,24.5,29
RB,Jerick McKinnon,17,MIN,CHI,11,5200,4000,24.5,26
WR,Terrelle Pryor,6,CLE,TEN,6,7000,6100,24.34,29
RB,Thomas Rawls,13,SEA,CAR,4,6600,5900,24.3,28
RB,Tevin Coleman,5,ATL,DEN,13,5900,4100,24.3,29
RB,Mark Ingram,16,NO,TB,21,6300,4400,24.3,25
RB,Deandre Washington,16,OAK,IND,22,4500,3300,24.2,25
WR,Taylor Gabriel,12,ATL,ARI,5,5100,3600,24.2,26
