P,Player,Week,Team,Opp,Opp Rank,Opp Position Rank,FDSal,DKSal,FD Points,DK Points
WR,Donovan Peoples-Jones,7,CLE,CIN,14,4500,3000,13.1,14.6,
WR,Willie Snead IV,8,BAL,PIT,25,4700,3400,13.1,18.6,
WR,JuJu Smith-Schuster,7,PIT,TEN,27,6500,5500,13,17.5,
WR,Amari Cooper,2,DAL,ATL,25,7000,6300,13,19,
WR,Kalif Raymond,3,TEN,MIN,31,4600,3000,13,17.5,
WR,Cole Beasley,3,BUF,LAR,3,5300,4500,13,19,
RB,Adrian Peterson,1,DET,CHI,15,5100,4500,12.9,14.4,
WR,Stefon Diggs,3,BUF,LAR,3,6900,7000,12.9,14.9,
WR,Tyler Boyd,4,CIN,JAX,12,6000,6100,12.9,16.4,
RB,Clyde Edwards-Helaire,7,KC,DEN,1,7000,6100,12.8,13.3,
RB,D'Andre Swift,7,DET,ATL,15,6100,5400,12.8,14.8,
RB,Josh Jacobs,8,LV,CLE,15,7800,6200,12.8,15.8,
TE,Eric Ebron,8,PIT,BAL,17,5100,3900,12.8,14.8,
WR,Jarvis Landry,4,CLE,DAL,31,5700,5100,12.78,15.28,
RB,Todd Gurley II,1,ATL,SEA,20,7100,6100,12.7,13.7,
RB,Jonathan Taylor,3,IND,NYJ,23,6700,7000,12.7,13.2,
RB,Miles Sanders,3,PHI,CIN,31,7400,6400,12.7,14.7,
RB,Kenyan Drake,5,ARI,NYJ,25,6200,5700,12.7,13.2,
TE,Darren Fells,5,HOU,JAX,26,4700,3400,12.7,13.7,
WR,Travis Fulgham,4,PHI,SF,5,4500,0,12.7,13.7,
RB,James Robinson,4,JAX,CIN,28,6600,6500,12.7,14.7,
WR,Greg Ward,7,PHI,NYG,22,5400,3100,12.7,15.2,
RB,Leonard Fournette,7,TB,LV,30,5500,4600,12.7,15.7,
RB,Wayne Gallman,8,NYG,TB,4,5400,4400,12.7,13.2,
RB,James Conner,7,PIT,TEN,23,7200,6700,12.6,14.1,
WR,Deonte Harris,7,NO,CAR,2,4600,3000,12.6,14.6,
RB,J.K. Dobbins,8,BAL,PIT,3,5100,4600,12.6,16.1,
WR,Marquise Brown,1,BAL,CLE,8,5800,5100,12.6,18.1,
WR,Stefon Diggs,1,BUF,NYJ,25,6600,6400,12.6,16.6,
WR,Mike Evans,5,TB,CHI,3,7500,6600,12.6,15.1,
WR,Brandon Aiyuk,4,SF,PHI,20,5100,5000,12.6,13.6,
WR,DK Metcalf,4,SEA,MIA,20,6900,6800,12.6,17.6,
WR,Olamide Zaccheaus,4,ATL,GB,19,5000,3000,12.6,16.6,
WR,Adam Thielen,6,MIN,ATL,26,7400,7300,12.6,14.1,
TE,Adam Shaheen,6,MIA,NYJ,19,4200,2500,12.6,14.1,
TE,David Njoku,1,CLE,BAL,1,4400,3600,12.5,14,
TE,Mo Alie-Cox,3,IND,NYJ,20,5000,3800,12.5,14,
TE,O.J. Howard,4,TB,LAC,14,4800,3300,12.5,14,
RB,Chase Edmonds,4,ARI,CAR,31,5300,4200,12.5,15,
WR,Kenny Golladay,6,DET,JAX,19,7200,6200,12.5,17.5,
WR,Cole Beasley,6,BUF,KC,6,5200,4800,12.5,14.5,
RB,La'Mical Perine,7,NYJ,BUF,19,4800,4200,12.5,13.5,
WR,Corey Davis,7,TEN,PIT,26,5200,4800,12.5,15.5,
RB,Joe Mixon,5,CIN,BAL,7,6900,6300,12.4,15.4,
WR,Nelson Agholor,4,LV,BUF,22,4700,3500,12.4,14.4,
RB,Joshua Kelley,2,LAC,KC,16,5500,4700,12.3,13.3,
WR,David Moore,2,SEA,NE,7,4600,3500,12.3,13.8,
WR,Tim Patrick,3,DEN,TB,7,4600,3700,12.3,14.3,
WR,Justin Jefferson,4,MIN,HOU,11,5400,5200,12.3,17.3,
WR,Emmanuel Sanders,4,NO,DET,24,5800,4800,12.3,15.3,
RB,Adrian Peterson,6,DET,JAX,24,5500,4700,12.3,12.8,
WR,Laviska Shenault Jr.,1,JAX,IND,26,4600,4400,12.2,13.7,
TE,C.J. Uzomah,2,CIN,CLE,31,4700,3800,12.2,14.2,
TE,Jared Cook,5,NO,LAC,23,6200,4400,12.2,13.2,
WR,Stefon Diggs,8,BUF,NE,17,7100,6800,12.2,15.2,
WR,David Moore,8,SEA,SF,6,4900,3100,12.1,13.6,
TE,Rob Gronkowski,8,TB,NYG,8,5600,4900,12.1,14.1,
WR,Kendrick Bourne,8,SF,SEA,32,5000,3500,12.1,16.1,
WR,Tim Patrick,6,DEN,NE,23,5400,4500,12.1,17.1,
RB,Joshua Kelley,1,LAC,CIN,24,4500,4300,12,12,
RB,Chase Edmonds,1,ARI,SF,3,5000,4400,12,13.5,
RB,Josh Jacobs,2,LV,NO,4,8400,7500,12,13.5,
WR,Brandin Cooks,2,HOU,BAL,3,5600,4900,12,14.5,
WR,Anthony Miller,3,CHI,ATL,30,5500,5600,12,13,
RB,Myles Gaskin,3,MIA,JAX,18,5600,4800,12,14.5,
WR,DeVante Parker,5,MIA,SF,5,6400,5900,12,13,
WR,Robert Woods,6,LAR,SF,8,6800,6200,12,14,
WR,Amari Cooper,7,DAL,WAS,3,7800,6900,12,15.5,
RB,Troymaine Pope,8,LAC,DEN,2,4500,4000,12,14.5,
RB,Jerick McKinnon,8,SF,SEA,12,6000,5700,11.9,13.9,
RB,Jerick McKinnon,1,SF,ARI,21,5000,4000,11.9,13.4,
RB,Jonathan Taylor,1,IND,JAX,31,5300,5700,11.9,14.9,
RB,Justin Jackson,5,LAC,NO,15,5400,4200,11.9,14.4,
TE,Austin Hooper,4,CLE,DAL,24,5100,4000,11.9,14.4,
WR,Tyron Johnson,4,LAC,TB,7,4500,0,11.8,12.3,
WR,D.J. Moore,6,CAR,CHI,2,6800,5900,11.8,14.3,
RB,Myles Gaskin,8,MIA,LAR,7,5700,5200,11.8,14.3,
RB,Malcolm Brown,7,LAR,CHI,12,5300,4000,11.7,11.7,
WR,A.J. Green,7,CIN,CLE,29,5600,4300,11.7,15.2,
WR,Jalen Reagor,8,PHI,DAL,29,5600,3600,11.7,13.2,
TE,Logan Thomas,1,WAS,PHI,6,4000,2800,11.7,13.7,
RB,Antonio Gibson,2,WAS,ARI,32,5100,4300,11.7,12.2,
TE,Travis Kelce,3,KC,BAL,30,7800,7000,11.7,14.7,
RB,Miles Sanders,6,PHI,BAL,4,7600,6600,11.7,15.2,
TE,Logan Thomas,6,WAS,NYG,2,4800,3300,11.7,13.2,
RB,David Montgomery,6,CHI,CAR,30,5900,5800,11.7,13.7,
TE,O.J. Howard,1,TB,NO,9,4700,3700,11.6,13.6,
TE,Jonnu Smith,1,TEN,DEN,14,4900,4400,11.6,13.6,
RB,David Johnson,3,HOU,PIT,4,6900,5400,11.6,12.6,
TE,Mike Gesicki,5,MIA,SF,2,5600,5000,11.6,14.1,
WR,Laviska Shenault Jr.,4,JAX,CIN,3,5200,4400,11.6,14.1,
WR,Jeff Smith,4,NYJ,DEN,28,4500,3000,11.6,15.1,
RB,Aaron Jones,6,GB,TB,8,8500,7600,11.6,13.1,
RB,Mike Davis,2,CAR,TB,22,4500,4000,11.5,15.5,
RB,Antonio Gibson,3,WAS,CLE,7,5500,4700,11.5,14,
WR,Josh Reynolds,6,LAR,SF,8,4800,4100,11.5,12.5,
TE,Richard Rodgers,7,PHI,NYG,6,4500,3700,11.5,14.5,
WR,Marquez Callaway,7,NO,CAR,2,4500,3000,11.5,15.5,
RB,David Montgomery,8,CHI,NO,8,5800,5900,11.5,12.5,
WR,Tee Higgins,8,CIN,TEN,27,6000,5600,11.4,14.4,
WR,Sterling Shepard,8,NYG,TB,9,5500,4600,11.4,15.4,
WR,Laviska Shenault Jr.,5,JAX,HOU,14,5300,4500,11.4,14.9,
RB,J.D. McKissic,6,WAS,NYG,20,5000,4400,11.4,14.4,
RB,Benny Snell Jr.,1,PIT,NYG,18,4600,4800,11.3,14.3,
TE,Hunter Henry,2,LAC,KC,27,6100,5100,11.3,14.3,
RB,David Johnson,5,HOU,JAX,26,6400,5200,11.3,12.3,
TE,Darren Waller,4,LV,BUF,23,6700,5200,11.3,16.8,
RB,James White,6,NE,DEN,1,5200,4800,11.3,15.3,
WR,Anthony Miller,8,CHI,NO,22,5100,4300,11.3,15.3,
RB,Myles Gaskin,2,MIA,BUF,13,4900,4300,11.2,14.2,
WR,N'Keal Harry,2,NE,SEA,31,5000,4200,11.2,15.2,
WR,Darnell Mooney,2,CHI,NYG,30,4600,3000,11.1,12.6,
TE,Tyler Eifert,2,JAX,TEN,29,4600,3000,11.1,12.6,
WR,Corey Davis,2,TEN,JAX,10,4900,4000,11.1,12.6,
WR,Mike Thomas,2,CIN,CLE,21,4600,3000,11.1,13.1,
WR,Tre'Quan Smith,2,NO,LV,27,5000,4100,11.1,13.6,
WR,Isaiah Ford,2,MIA,BUF,17,4500,3500,11.1,14.6,
WR,Parris Campbell,1,IND,JAX,10,5100,3900,11,14,
TE,Gerald Everett,5,LAR,WAS,29,4400,2500,11,13,
WR,Tee Higgins,4,CIN,JAX,12,5300,4500,11,13,
RB,Melvin Gordon III,7,DEN,KC,18,6700,5500,11,14,
WR,Will Fuller V,7,HOU,GB,10,6900,6800,11,12.5,
TE,Jordan Akins,1,HOU,KC,22,4300,3100,10.9,11.9,
WR,Chris Godwin,1,TB,NO,27,7700,7100,10.9,13.9,
WR,Kenny Stills,4,HOU,MIN,29,4700,3200,10.9,11.9,
WR,Terry McLaurin,6,WAS,NYG,21,6900,5700,10.9,14.4,
WR,Golden Tate,8,NYG,TB,9,5500,3600,10.82,11.82,
TE,Gerald Everett,7,LAR,CHI,16,4700,3200,10.8,12.8,
WR,Jakobi Meyers,8,NE,BUF,8,4500,3500,10.8,13.8,
WR,Adam Thielen,3,MIN,TEN,18,7200,6900,10.8,12.3,
TE,Jimmy Graham,5,CHI,TB,11,5400,4700,10.8,12.3,
WR,Jarvis Landry,5,CLE,IND,9,5600,5000,10.8,12.8,
WR,Darius Slayton,6,NYG,WAS,3,6000,5400,10.8,11.8,
TE,Nick Boyle,6,BAL,PHI,28,4100,2700,10.8,12.3,
WR,Cole Beasley,4,BUF,LV,5,5100,4700,10.7,12.2,
WR,Mecole Hardman,4,KC,NE,27,0,0,10.7,12.7,
TE,Jared Cook,7,NO,CAR,6,6100,4300,10.7,12.2,
WR,Chase Claypool,8,PIT,BAL,9,6000,5200,10.7,14.2,
RB,Todd Gurley II,8,ATL,CAR,28,7100,6500,10.6,10.6,
WR,Hunter Renfrow,8,LV,CLE,30,5100,3800,10.6,12.6,
WR,Danny Amendola,1,DET,CHI,5,5100,4800,10.6,13.1,
RB,Joe Mixon,2,CIN,CLE,14,7000,6100,10.6,12.6,
WR,Terry McLaurin,3,WAS,CLE,26,6700,5900,10.6,12.6,
WR,Rashard Higgins,5,CLE,IND,9,4500,3000,10.6,12.1,
WR,Greg Ward,5,PHI,PIT,27,5000,4600,10.6,12.6,
RB,Clyde Edwards-Helaire,4,KC,NE,11,0,0,10.6,12.1,
WR,Marquise Brown,4,BAL,WAS,6,6300,6300,10.6,12.6,
RB,Darrel Williams,6,KC,BUF,14,4800,4000,10.6,11.1,
WR,Julian Edelman,1,NE,MIA,31,6700,6000,10.5,13,
TE,Jared Cook,1,NO,TB,25,5900,5500,10.5,13,
RB,Kenyan Drake,2,ARI,WAS,1,6600,5900,10.5,11.5,
WR,Cooper Kupp,2,LAR,PHI,9,7200,6700,10.5,14,
WR,Chris Hogan,2,NYJ,SF,14,4500,3200,10.5,13.5,
TE,Zach Ertz,3,PHI,CIN,12,6200,5100,10.5,14,
WR,Collin Johnson,5,JAX,HOU,14,4500,3000,10.5,12,
WR,Damiere Byrd,4,NE,KC,1,0,0,10.5,13,
RB,Mike Davis,6,CAR,CHI,13,7500,7000,10.5,12.5,
WR,Marvin Jones Jr.,7,DET,ATL,28,5700,4400,10.5,13,
WR,Golden Tate,7,NYG,PHI,23,5400,4200,10.4,10.9,
WR,Robby Anderson,7,CAR,NO,19,6400,6000,10.4,13.4,
WR,A.J. Brown,8,TEN,CIN,18,7500,6900,10.4,12.4,
TE,Robert Tonyan,8,GB,MIN,16,5900,4300,10.4,12.9,
WR,James Washington,1,PIT,NYG,28,5100,4300,10.4,11.4,
TE,Greg Olsen,1,SEA,ATL,19,4900,4000,10.4,12.4,
WR,Scotty Miller,1,TB,NO,27,4500,4000,10.4,12.9,
WR,DJ Chark Jr.,2,JAX,TEN,4,6700,6000,10.4,12.4,
WR,Tyler Boyd,6,CIN,IND,10,6100,5800,10.4,12.9,
WR,Robert Woods,2,LAR,PHI,9,6700,6400,10.3,11.3,
WR,Marvin Jones Jr.,2,DET,GB,28,6400,5700,10.3,12.3,
TE,Jesse James,3,DET,ARI,8,4000,2500,10.3,11.8,
TE,Hunter Henry,5,LAC,NO,32,6000,5300,10.3,12.3,
WR,Christian Kirk,5,ARI,NYJ,13,5600,4700,10.3,12.8,
RB,Giovani Bernard,6,CIN,IND,3,4600,4000,10.3,11.8,
RB,Zack Moss,1,BUF,NYJ,9,4800,4400,10.2,11.7,
RB,Chris Thompson,2,JAX,TEN,15,4700,4000,10.2,11.7,
WR,Damiere Byrd,2,NE,SEA,31,4500,3000,10.2,13.2,
RB,Mark Ingram II,4,BAL,WAS,14,6500,5700,10.2,10.7,
RB,David Johnson,4,HOU,MIN,24,6700,5600,10.2,11.2,
WR,Keenan Allen,4,LAC,TB,7,6900,6500,10.2,14.2,
WR,Larry Fitzgerald,7,ARI,SEA,32,4900,4200,10.2,14.2,
WR,JuJu Smith-Schuster,8,PIT,BAL,9,6500,5400,10.2,13.7,
RB,Ronald Jones II,7,TB,LV,30,6100,6200,10.1,10.6,
FB,Kyle Juszczyk,7,SF,NE,5,4500,4000,10.1,10.6,
RB,Kareem Hunt,1,CLE,BAL,8,5800,5100,10.1,12.1,
WR,Gabriel Davis,3,BUF,LAR,3,4600,3000,10.1,12.1,
RB,Phillip Lindsay,6,DEN,NE,7,5100,4300,10.1,13.1,
TE,Jimmy Graham,1,CHI,DET,15,5000,3800,10,11.5,
WR,DJ Chark Jr.,1,JAX,IND,26,6600,6300,10,11.5,
RB,Alexander Mattison,1,MIN,GB,23,4900,4200,10,12,
RB,Clyde Edwards-Helaire,2,KC,LAC,2,8000,7400,10,13,
WR,Kendrick Bourne,5,SF,MIA,25,5200,4200,10,11,
RB,Damien Harris,4,NE,KC,15,0,0,10,13,
WR,Auden Tate,8,CIN,TEN,27,4600,3000,10,13.5,
TE,T.J. Hockenson,8,DET,IND,1,6000,5300,10,13.5,
RB,Samaje Perine,8,CIN,TEN,22,4700,4000,9.9,10.4,
WR,Keenan Allen,5,LAC,NO,9,6800,6500,9.9,10.9,
WR,T.Y. Hilton,5,IND,CLE,30,5700,4900,9.9,12.9,
TE,T.J. Hockenson,4,DET,NO,32,5400,4800,9.9,10.9,
WR,CeeDee Lamb,6,DAL,ARI,5,6400,6300,9.9,13.4,
RB,D'Andre Swift,1,DET,CHI,15,5100,4900,9.8,11.3,
WR,Allen Robinson II,1,CHI,DET,29,7200,6500,9.8,12.3,
TE,Hunter Henry,1,LAC,CIN,12,6000,5300,9.8,12.3,
WR,Scotty Miller,3,TB,DEN,25,5000,4000,9.8,11.3,
WR,Travis Fulgham,7,PHI,NYG,22,5900,5400,9.8,12.3,
TE,Hayden Hurst,7,ATL,DET,3,5600,4400,9.8,12.8,
WR,Deebo Samuel,7,SF,NE,21,5400,5000,9.7,12.2,
RB,Devin Singletary,8,BUF,NE,23,5700,5100,9.7,10.2,
RB,Sony Michel,1,NE,MIA,28,6000,4600,9.7,9.7,
RB,Ronald Jones II,2,TB,CAR,31,5900,5200,9.7,10.7,
RB,D'Andre Swift,2,DET,GB,28,5200,4900,9.7,12.2,
WR,Sammy Watkins,3,KC,BAL,1,5700,4500,9.7,13.2,
WR,Keelan Cole,5,JAX,HOU,14,5400,4700,9.7,10.7,
RB,Tony Pollard,4,DAL,CLE,8,4700,4100,9.7,10.2,
WR,Robby Anderson,6,CAR,CHI,2,6500,6300,9.7,11.7,
RB,Saquon Barkley,1,NYG,PIT,5,9000,8500,9.6,12.6,
RB,Adrian Peterson,4,DET,NO,13,5500,4700,9.6,9.6,
RB,Ke'Shawn Vaughn,4,TB,LAC,1,4500,4000,9.6,10.6,
WR,N'Keal Harry,4,NE,KC,1,0,0,9.6,11.1,
RB,JaMycal Hasty,8,SF,SEA,12,5600,5000,9.6,10.1,
WR,Michael Gallup,8,DAL,PHI,21,5600,3800,9.6,13.1,
WR,Brandin Cooks,7,HOU,GB,10,5900,5200,9.5,13,
TE,Albert Okwuegbunam,7,DEN,KC,14,4800,2500,9.5,13,
TE,Evan Engram,8,NYG,TB,15,5600,4400,9.5,12,
RB,James Robinson,1,JAX,IND,6,4500,4000,9.5,10,
TE,Robert Tonyan,2,GB,DET,21,4300,2500,9.5,10.5,
WR,Cole Beasley,2,BUF,MIA,2,5400,4700,9.5,12,
TE,Evan Engram,2,NYG,CHI,26,6000,5300,9.5,12.5,
TE,Foster Moreau,3,LV,NE,3,4000,2500,9.5,10.5,
RB,Clyde Edwards-Helaire,5,KC,LV,32,7900,6800,9.5,11,
RB,D'Ernest Johnson,4,CLE,DAL,9,4500,4000,9.5,9.5,
TE,Irv Smith Jr.,6,MIN,ATL,31,4300,2500,9.5,11.5,
WR,Zach Pascal,2,IND,MIN,32,5000,3700,9.4,10.9,
WR,DeSean Jackson,2,PHI,LAR,16,5500,5100,9.4,12.4,
WR,DeVante Parker,3,MIA,JAX,10,6600,5900,9.4,11.9,
WR,Corey Davis,3,TEN,MIN,31,5300,5200,9.4,11.9,
WR,Sammy Watkins,5,KC,LV,15,5600,4500,9.4,10.4,
WR,Christian Kirk,4,ARI,CAR,15,5400,4400,9.4,10.9,
RB,James White,4,NE,KC,15,0,0,9.4,12.9,
WR,Demarcus Robinson,6,KC,BUF,18,5200,3300,9.4,11.9,
RB,David Montgomery,7,CHI,LAR,11,6000,5900,9.4,11.9,
WR,Chris Conley,7,JAX,LAC,12,4900,3000,9.3,9.8,
WR,Jerry Jeudy,8,DEN,LAC,10,5600,4800,9.3,11.3,
TE,Zach Ertz,1,PHI,WAS,28,6700,5800,9.3,10.8,
TE,Darren Fells,2,HOU,BAL,28,4300,3200,9.3,10.3,
WR,Michael Gallup,5,DAL,NYG,20,5700,5400,9.3,11.3,
RB,Austin Ekeler,1,LAC,CIN,24,7700,7000,9.2,9.7,
RB,Josh Adams,1,NYJ,BUF,13,4500,4000,9.2,10.2,
RB,Ronald Jones II,1,TB,NO,4,5700,5200,9.2,10.2,
RB,Kerryon Johnson,2,DET,GB,28,5000,4000,9.2,9.2,
RB,David Montgomery,4,CHI,IND,7,5900,5500,9.2,10.7,
RB,Darrell Henderson Jr.,6,LAR,SF,2,6200,5600,9.2,9.2,
WR,Randall Cobb,6,HOU,TEN,22,5100,4400,9.2,10.7,
RB,Chris Carson,3,SEA,DAL,14,7700,6600,9.1,10.6,
WR,CeeDee Lamb,3,DAL,SEA,32,5600,5400,9.1,11.6,
WR,Cooper Kupp,5,LAR,WAS,2,7200,6500,9.1,11.6,
WR,Gabriel Davis,4,BUF,LV,5,4600,3200,9.1,9.6,
WR,Davante Adams,6,GB,TB,9,9000,8000,9.1,12.1,
TE,Virgil Green,7,LAC,JAX,28,4000,2500,9.1,9.6,
TE,David Njoku,7,CLE,CIN,24,4500,3000,9,10,
WR,Allen Robinson II,7,CHI,LAR,2,6800,6700,9,11,
WR,Miles Boykin,8,BAL,PIT,25,4500,3000,9,10,
WR,Emmanuel Sanders,1,NO,TB,32,5400,5700,9,10.5,
TE,Jordan Akins,2,HOU,BAL,28,4600,3300,9,12.5,
RB,Adrian Peterson,3,DET,ARI,27,5100,4500,9,9.5,
TE,Evan Engram,5,NYG,DAL,27,5500,4600,9,9.5,
WR,Ray-Ray McCloud III,5,PIT,PHI,19,0,3000,9,10.5,
TE,Cole Kmet,6,CHI,CAR,4,4100,2500,9,10,
RB,Frank Gore,6,NYJ,MIA,26,5000,4000,9,11,
WR,Odell Beckham Jr.,5,CLE,IND,9,6800,6400,8.92,11.42,
WR,Mike Williams,1,LAC,CIN,18,5900,4700,8.9,10.9,
WR,Marvin Hall,2,DET,GB,28,4800,3700,8.9,9.4,
WR,Curtis Samuel,5,CAR,ATL,23,5100,4800,8.9,11.4,
WR,Cooper Kupp,7,LAR,CHI,3,7100,6200,8.9,11.9,
RB,Boston Scott,8,PHI,DAL,28,6800,6000,8.9,9.9,
TE,Jack Doyle,8,IND,DET,4,4800,3300,8.8,9.8,
WR,K.J. Hamler,8,DEN,LAC,10,4800,3600,8.8,10.3,
WR,Nelson Agholor,1,LV,CAR,19,4900,3800,8.8,9.3,
TE,Jason Witten,4,LV,BUF,23,4300,2500,8.8,9.8,
RB,Josh Jacobs,4,LV,BUF,11,8000,6800,8.8,10.3,
RB,Devonta Freeman,4,NYG,LAR,20,5400,4800,8.8,10.8,
WR,Preston Williams,6,MIA,NYJ,16,5400,4700,8.8,9.8,
WR,Laviska Shenault Jr.,2,JAX,TEN,4,4900,4200,8.7,10.2,
WR,Kendrick Bourne,2,SF,NYJ,26,5500,4900,8.7,10.7,
WR,Isaiah McKenzie,5,BUF,TEN,22,4600,3000,8.7,10.7,
WR,Cam Sims,6,WAS,NYG,21,4500,3000,8.7,9.2,
TE,T.J. Hockenson,6,DET,JAX,27,5700,5300,8.7,9.7,
TE,Donald Parham Jr.,7,LAC,JAX,28,4300,2500,8.7,9.2,
RB,Darrell Henderson Jr.,7,LAR,CHI,12,6300,5500,8.7,9.7,
RB,Zack Moss,7,BUF,NYJ,26,5400,4200,8.7,10.2,
WR,Cedrick Wilson,5,DAL,NYG,20,4800,3100,8.64,10.64,
RB,Myles Gaskin,1,MIA,NE,1,4600,4000,8.6,10.6,
WR,Jarvis Landry,1,CLE,BAL,12,6300,5900,8.6,11.1,
WR,Terry McLaurin,1,WAS,PHI,30,6500,5600,8.6,11.1,
RB,Jalen Richard,2,LV,NO,4,4500,4000,8.6,8.6,
WR,Freddie Swain,2,SEA,NE,7,4500,3000,8.6,9.1,
RB,Devin Singletary,2,BUF,MIA,19,6000,5200,8.6,9.6,
TE,Jacob Hollister,3,SEA,DAL,18,4000,2700,8.6,9.1,
TE,Jonnu Smith,3,TEN,MIN,13,5600,5200,8.6,11.1,
TE,Greg Olsen,3,SEA,DAL,18,5100,4200,8.6,11.1,
RB,Miles Sanders,4,PHI,SF,2,7600,6700,8.6,9.6,
RB,Gus Edwards,6,BAL,PHI,12,4600,4000,8.6,8.6,
RB,Benny Snell Jr.,6,PIT,CLE,10,4600,4000,8.6,9.1,
RB,Raheem Mostert,6,SF,LAR,12,6400,6300,8.6,9.6,
TE,Trey Burton,8,IND,DET,4,5300,3500,8.6,10.1,
RB,Leonard Fournette,8,TB,NYG,19,5900,4900,8.6,10.1,
RB,Kerryon Johnson,8,DET,IND,6,4900,4000,8.5,9.5,
WR,Larry Fitzgerald,2,ARI,WAS,8,5200,4600,8.5,12,
TE,Travis Kelce,4,KC,NE,5,0,0,8.5,10,
WR,Russell Gage,6,ATL,MIN,29,5500,4800,8.5,10.5,
WR,Jarvis Landry,7,CLE,CIN,14,5500,4600,8.46,10.96,
TE,Tyler Kroft,7,BUF,NYJ,22,4500,3100,8.4,10.4,
WR,Russell Gage,7,ATL,DET,24,5300,4400,8.4,11.4,
WR,CeeDee Lamb,1,DAL,LAR,12,5200,4100,8.4,10.9,
RB,Derrick Henry,2,TEN,JAX,29,8300,7900,8.4,8.4,
WR,Randall Cobb,2,HOU,BAL,3,4900,4400,8.4,10.9,
RB,Kenyan Drake,3,ARI,DET,30,6500,6000,8.4,8.9,
TE,Will Dissly,5,SEA,MIN,12,4500,2500,8.4,8.9,
TE,Irv Smith Jr.,5,MIN,SEA,3,4300,2500,8.4,10.4,
TE,Donald Parham Jr.,4,LAC,TB,8,4000,2500,8.4,8.9,
RB,Jonathan Taylor,4,IND,CHI,21,7800,6600,8.4,8.9,
TE,Jack Doyle,6,IND,CIN,17,4900,2700,8.4,10.9,
RB,Carlos Hyde,1,SEA,ATL,11,5000,4600,8.3,8.3,
RB,Jamaal Williams,2,GB,DET,6,4800,4200,8.3,8.3,
TE,Jared Cook,2,NO,LV,4,6200,5300,8.3,9.3,
WR,JuJu Smith-Schuster,2,PIT,DEN,15,7100,6500,8.3,11.8,
TE,Marcedes Lewis,3,GB,NO,30,4100,2800,8.3,8.8,
RB,Ronald Jones II,3,TB,DEN,8,5600,5000,8.3,9.3,
WR,Kendrick Bourne,3,SF,NYG,24,5500,5000,8.3,10.3,
WR,Gabriel Davis,5,BUF,TEN,22,4700,3300,8.3,10.8,
WR,Cole Beasley,5,BUF,TEN,22,5200,4300,8.3,11.3,
WR,DeAndre Hopkins,6,ARI,DAL,30,8800,8200,8.3,9.3,
WR,Jamison Crowder,6,NYJ,MIA,20,6600,6100,8.3,11.8,
RB,Kareem Hunt,8,CLE,LV,30,8200,6900,8.3,9.3,
TE,Dalton Schultz,8,DAL,PHI,27,5200,3700,8.3,11.3,
WR,Jakobi Meyers,7,NE,SF,8,4500,3000,8.2,10.2,
RB,Mike Davis,8,CAR,ATL,14,8400,6700,8.2,8.7,
TE,Noah Fant,8,DEN,LAC,23,5700,4700,8.2,11.7,
WR,Jerry Jeudy,2,DEN,PIT,23,5300,4900,8.2,10.2,
TE,T.J. Hockenson,2,DET,GB,12,5600,5200,8.2,10.2,
WR,Tee Higgins,5,CIN,BAL,10,5400,4900,8.2,10.2,
TE,Austin Hooper,5,CLE,IND,1,5200,4100,8.2,10.7,
RB,Malcolm Brown,4,LAR,NYG,23,5300,4700,8.2,10.7,
WR,Hunter Renfrow,4,LV,BUF,22,5300,4600,8.2,10.7,
WR,Brandon Aiyuk,6,SF,LAR,1,5500,4300,8.2,9.2,
RB,Todd Gurley II,6,ATL,MIN,17,6800,6300,8.2,9.7,
WR,Breshad Perriman,6,NYJ,MIA,20,5000,4100,8.2,10.2,
WR,Henry Ruggs III,1,LV,CAR,19,5100,5100,8.1,9.6,
WR,Courtland Sutton,2,DEN,PIT,23,6900,6000,8.1,9.6,
TE,Kyle Rudolph,3,MIN,TEN,29,4500,3100,8.1,9.1,
RB,Nyheim Hines,3,IND,NYJ,23,5300,4800,8.1,10.1,
WR,Tyler Johnson,5,TB,CHI,3,4500,3000,8.1,10.1,
TE,Ross Dwelley,8,SF,SEA,3,4200,2500,8.1,8.6,
WR,Darius Slayton,8,NYG,TB,9,6200,4800,8.1,10.6,
WR,Mecole Hardman,7,KC,DEN,18,5400,4500,8,9,
RB,Justin Jackson,7,LAC,JAX,28,6100,4900,8,10.5,
TE,George Kittle,7,SF,NE,5,7100,6500,8,10.5,
TE,Eric Ebron,7,PIT,TEN,26,5100,4000,8,11,
WR,Jakeem Grant Sr.,8,MIA,LAR,2,4600,3000,8,8.5,
WR,Zay Jones,2,LV,NO,19,4500,3000,8,8.5,
TE,Drew Sample,2,CIN,CLE,31,4300,2500,8,11.5,
TE,Mike Gesicki,3,MIA,JAX,30,5500,4900,8,8.5,
WR,Robby Anderson,3,CAR,LAC,8,6100,5200,8,10.5,
WR,Jerry Jeudy,3,DEN,TB,7,5300,5000,8,10.5,
WR,J.J. Arcega-Whiteside,6,PHI,BAL,6,4800,3000,8,8,
WR,DJ Chark Jr.,6,JAX,DET,25,6600,6300,8,11.5,
RB,Ezekiel Elliott,6,DAL,ARI,24,9500,8100,8,14,
RB,David Montgomery,1,CHI,DET,29,5900,5900,7.9,8.4,
WR,Jalen Guyton,2,LAC,KC,11,4500,3000,7.9,8.4,
WR,Marquez Valdes-Scantling,2,GB,DET,29,5100,4600,7.9,9.4,
